ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27410826;О присвоении объекту адресации адреса или аннулировании его адреса;2025-09-24;2544/48-08/25;23;2;2025-09-29;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА СЕВАСТОПОЛЯ;2025-09-29
27415374;О присвоении объекту адресации адреса или аннулировании его адреса;2025-09-26;2563/48-08/25;23;2;2025-09-29;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА СЕВАСТОПОЛЯ;2025-09-29
27426245;О присвоении объекту адресации адреса или аннулировании его адреса;2025-09-29;2580/48-08/25;23;2;2025-09-30;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА СЕВАСТОПОЛЯ;2025-09-30
27426339;О присвоении объекту адресации адреса или аннулировании его адреса;2025-09-29;2582/48-08/25;23;2;2025-09-30;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА СЕВАСТОПОЛЯ;2025-09-30
27426441;О присвоении объекту адресации адреса или аннулировании его адреса;2025-09-29;2598/48-08/25;23;2;2025-09-30;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА СЕВАСТОПОЛЯ;2025-09-30
27427854;О присвоении объекту адресации адреса или аннулировании его адреса;2025-09-29;2571/48-08/25;23;2;2025-09-30;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА СЕВАСТОПОЛЯ;2025-09-30
27428611;О присвоении объекту адресации адреса или аннулировании его адреса;2025-09-29;2614/48-08/25;23;2;2025-09-30;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА СЕВАСТОПОЛЯ;2025-09-30
27431819;О присвоении объекту адресации адреса или аннулировании его адреса;2025-09-29;2572/48-08/25;23;2;2025-09-30;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА СЕВАСТОПОЛЯ;2025-09-30
27431841;О присвоении объекту адресации адреса или аннулировании его адреса;2025-09-29;2613/48-08/25;23;2;2025-09-30;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА СЕВАСТОПОЛЯ;2025-09-30
27431850;О присвоении объекту адресации адреса или аннулировании его адреса;2025-09-29;2575/48-08/25;23;2;2025-09-30;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА СЕВАСТОПОЛЯ;2025-09-30
27432532;О присвоении объекту адресации адреса или аннулировании его адреса;2025-09-29;2577/48-08/25;23;2;2025-09-30;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА СЕВАСТОПОЛЯ;2025-09-30
27432572;О присвоении наименования адресообразующему элементу;2025-09-30;H-28970954;23;3;2025-09-30;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА СЕВАСТОПОЛЯ;2025-09-30
27434715;О присвоении объекту адресации адреса или аннулировании его адреса;2025-09-29;2579/48-08/25;23;2;2025-10-01;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА ГОРОДА СЕВАСТОПОЛЯ;2025-10-01
