ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
488098142;86334248;128082731;689642970;15;36;2025-09-29;2018-05-23;2025-09-29
490042725;86531035;128342046;689683951;15;15;2025-09-29;2018-07-02;2025-09-29
728247398;101846247;196514931;689642974;15;327;2025-09-29;2021-07-13;2025-09-29
567909870;94484203;137433148;689642856;15;357;2025-09-29;2019-11-27;2025-09-29
1644439899;94484203;689642856;0;13;673020000001828000110471000000010;2025-09-29;2025-09-29;2079-06-06
1644440359;86334248;689642970;0;13;673020000001363000110268000000020;2025-09-29;2025-09-29;2079-06-06
1644440381;101846247;689642974;0;13;673140000001355168410822000000010;2025-09-29;2025-09-29;2079-06-06
1644440351;174918050;689642967;0;2;9200;2025-09-29;2025-09-29;2079-06-06
1644440353;174918050;689642967;0;8;91:01:002001:707;2025-09-29;2025-09-29;2079-06-06
1644440355;174918050;689642967;0;15;24;2025-09-29;2025-09-29;2079-06-06
1644440357;174918050;689642967;0;21;67302000;2025-09-29;2025-09-29;2079-06-06
1644440419;174918057;689642981;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644440421;174918057;689642981;0;6;67269000000;2025-09-29;2025-09-29;2079-06-06
1644440423;174918057;689642981;0;8;91:04:001013:1973;2025-09-29;2025-09-29;2079-06-06
1644440425;174918057;689642981;0;13;673140000000000045510054000000000;2025-09-29;2025-09-29;2079-06-06
1644451550;174919453;689645426;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644451552;174919453;689645426;0;6;67269000000;2025-09-29;2025-09-29;2079-06-06
1644451554;174919453;689645426;0;8;91:04:001005:3600;2025-09-29;2025-09-29;2079-06-06
1644451556;174919453;689645426;0;13;673140000000000038210101000000000;2025-09-29;2025-09-29;2079-06-06
1644451558;174919454;689645427;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644451560;174919454;689645427;0;6;67269000000;2025-09-29;2025-09-29;2079-06-06
1644451562;174919454;689645427;0;8;91:04:001005:3599;2025-09-29;2025-09-29;2079-06-06
1644451564;174919454;689645427;0;13;673140000000000038210102000000000;2025-09-29;2025-09-29;2079-06-06
1644452339;87286161;689645510;0;13;673140000001444000010047000000010;2025-09-29;2025-09-29;2079-06-06
1644452380;158750310;689645516;0;15;362;2025-09-29;2025-09-29;2079-06-06
508181570;88385648;130681786;689645520;15;38;2025-09-29;2018-09-27;2025-09-29
1644452401;88385648;689645520;0;13;673100000001423000110087000000010;2025-09-29;2025-09-29;2079-06-06
1644465294;87350044;689648304;0;15;146;2025-09-29;2025-09-29;2079-06-06
1644470149;174921977;689649344;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644470151;174921977;689649344;0;6;67263000021;2025-09-29;2025-09-29;2079-06-06
1644470153;174921977;689649344;0;8;91:01:048002:699;2025-09-29;2025-09-29;2079-06-06
1644470155;174921977;689649344;0;13;673060001510000001010092000000000;2025-09-29;2025-09-29;2079-06-06
1644470157;174921978;689649345;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644470159;174921978;689649345;0;6;67263000021;2025-09-29;2025-09-29;2079-06-06
1644470161;174921978;689649345;0;8;91:01:048002:701;2025-09-29;2025-09-29;2079-06-06
1644470163;174921978;689649345;0;13;673060001510000001010093000000000;2025-09-29;2025-09-29;2079-06-06
1644470165;174921979;689649346;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644470167;174921979;689649346;0;6;67263000021;2025-09-29;2025-09-29;2079-06-06
1644470169;174921979;689649346;0;8;91:01:048002:700;2025-09-29;2025-09-29;2079-06-06
1644470171;174921979;689649346;0;13;673060001510000001010094000000000;2025-09-29;2025-09-29;2079-06-06
1644567951;174936567;689681092;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644567953;174936567;689681092;0;6;67264000000;2025-09-29;2025-09-29;2079-06-06
1644567955;174936567;689681092;0;8;91:02:001007:1491;2025-09-29;2025-09-29;2079-06-06
1644567957;174936567;689681092;0;13;673100000001492000010128000000000;2025-09-29;2025-09-29;2079-06-06
1644575530;86531035;689683951;0;7;67320000051;2025-09-29;2025-09-29;2079-06-06
1644575532;86531035;689683951;0;13;673200000511934209210376000000010;2025-09-29;2025-09-29;2079-06-06
1644575787;174937860;689684141;0;2;9200;2025-09-29;2025-09-29;2079-06-06
1644575789;174937860;689684141;0;7;67314000;2025-09-29;2025-09-29;2079-06-06
1644575791;174937860;689684141;0;15;31;2025-09-29;2025-09-29;2079-06-06
1644575793;174937860;689684141;0;21;67314000;2025-09-29;2025-09-29;2079-06-06
1644575795;174937861;689684142;0;2;9200;2025-09-29;2025-09-29;2079-06-06
1644575797;174937861;689684142;0;7;67314000;2025-09-29;2025-09-29;2079-06-06
1644575799;174937861;689684142;0;15;32;2025-09-29;2025-09-29;2079-06-06
1644575801;174937861;689684142;0;21;67314000;2025-09-29;2025-09-29;2079-06-06
1644625166;174943763;689697102;0;2;9200;2025-09-29;2025-09-29;2079-06-06
1644625168;174943763;689697102;0;7;67314000;2025-09-29;2025-09-29;2079-06-06
1644625170;174943763;689697102;0;15;138;2025-09-29;2025-09-29;2079-06-06
1644625172;174943763;689697102;0;21;67314000;2025-09-29;2025-09-29;2079-06-06
1644798625;174964662;689744924;0;2;9200;2025-09-30;2025-09-30;2079-06-06
1644798627;174964662;689744924;0;7;67302000;2025-09-30;2025-09-30;2079-06-06
1644798629;174964662;689744924;0;15;148;2025-09-30;2025-09-30;2079-06-06
1644798631;174964662;689744924;0;21;67302000;2025-09-30;2025-09-30;2079-06-06
1644799525;174964752;689745138;0;2;9200;2025-09-30;2025-09-30;2079-06-06
1644799527;174964752;689745138;0;7;67310000;2025-09-30;2025-09-30;2079-06-06
1644799529;174964752;689745138;0;15;53;2025-09-30;2025-09-30;2079-06-06
1644799531;174964752;689745138;0;21;67310000;2025-09-30;2025-09-30;2079-06-06
1644800254;90320432;689745264;0;15;604;2025-09-30;2025-09-30;2079-06-06
1644802612;174965392;689746032;0;1;9200;2025-09-30;2025-09-30;2079-06-06
1644802614;174965392;689746032;0;6;67266000000;2025-09-30;2025-09-30;2079-06-06
1644802616;174965392;689746032;0;8;91:03:001008:2575;2025-09-30;2025-09-30;2079-06-06
1644802618;174965392;689746032;0;13;673120000000000004810080000000000;2025-09-30;2025-09-30;2079-06-06
1644822009;174967458;689752090;0;1;9200;2025-09-30;2025-09-30;2079-06-06
1644822011;174967458;689752090;0;6;67263000000;2025-09-30;2025-09-30;2079-06-06
1644822013;174967458;689752090;0;8;91:01:005014:250;2025-09-30;2025-09-30;2079-06-06
1644822015;174967458;689752090;0;13;673020000002023000110064000000000;2025-09-30;2025-09-30;2079-06-06
1644835744;174968893;689755423;0;1;9200;2025-09-30;2025-09-30;2079-06-06
1644835746;174968893;689755423;0;6;67269000000;2025-09-30;2025-09-30;2079-06-06
1644835748;174968893;689755423;0;8;91:04:002016:1082;2025-09-30;2025-09-30;2079-06-06
