ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1401649448;160243670;509175547;689802842;15;17;2025-10-01;2023-09-06;2025-10-01
1492203400;160243670;580122797;689802842;10;93021006000001701;2025-10-01;2023-12-28;2025-10-01
1644448058;155837234;689644565;0;10;93022004000020100;2025-09-29;2025-09-29;2079-06-06
1644705551;174953193;689718940;0;1;9307;2025-09-30;2025-09-30;2079-06-06
1644705553;174953193;689718940;0;6;21221000032;2025-09-30;2025-09-30;2079-06-06
1644705557;174953193;689718940;0;10;93015000028001300;2025-09-30;2025-09-30;2079-06-06
1644705561;174953193;689718940;0;13;210000000000000001301;2025-09-30;2025-09-30;2079-06-06
1644821059;174967353;689751575;0;1;9307;2025-09-30;2025-09-30;2079-06-06
1644821061;174967353;689751575;0;6;21223000037;2025-09-30;2025-09-30;2079-06-06
1644821063;174967353;689751575;0;10;93024000001000300;2025-09-30;2025-09-30;2079-06-06
1644821065;174967353;689751575;0;13;215230001370000000301;2025-09-30;2025-09-30;2079-06-06
1372002483;158266653;496330849;689751597;10;93003007000003401;2025-09-30;2023-03-10;2025-09-30
1644821077;158266653;689751597;0;15;126;2025-09-30;2025-09-30;2079-06-06
1494964036;155819888;583202058;689753568;10;93000020000012501;2025-09-30;2024-01-06;2025-09-30
1362478905;155819888;442571556;689753568;15;295;2025-09-30;2022-09-30;2025-09-30
1644829427;155819888;689753568;0;13;217160000010000054011;2025-09-30;2025-09-30;2079-06-06
1644953416;161027488;689802836;0;10;93006001000006700;2025-10-01;2025-10-01;2079-06-06
1644953436;160243670;689802842;0;10;93021006000001700;2025-10-01;2025-10-01;2079-06-06
1644953438;160243670;689802842;0;13;215130000030000002511;2025-10-01;2025-10-01;2079-06-06
1645022593;174992533;689822220;0;2;9307;2025-10-01;2025-10-01;2079-06-06
1645022595;174992533;689822220;0;7;21519000006;2025-10-01;2025-10-01;2079-06-06
1645022604;174992533;689822220;0;15;35;2025-10-01;2025-10-01;2079-06-06
1645022606;174992533;689822220;0;21;21000000;2025-10-01;2025-10-01;2079-06-06
