ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;AREACODE;CITYCODE;PLACECODE;PLANCODE;STREETCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
247033394;174920541;160485983;689647160;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920541
247033396;174920543;160485983;689647164;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920543
247033398;174920545;160485983;689647167;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920545
247027081;174914387;157738790;689635333;93;6;2;0;0;14;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.156616411.156148146.157738790.174914387
247033399;174920546;160485983;689647169;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920546
247033401;174920548;160485983;689647173;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920548
247033403;174920550;160485983;689647176;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920550
247033313;174920460;155821827;689647007;93;0;2;0;0;261;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155821827.174920460
247033325;174920472;155829570;689647028;93;0;2;0;0;1415;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155829570.174920472
247033324;174920471;160326989;689647023;93;0;2;10;0;61;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155824268.160326989.174920471
247033327;174920474;161762353;689647046;93;0;2;27;0;9;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.161762353.174920474
247033329;174920476;161762353;689647048;93;0;2;27;0;9;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.161762353.174920476
247033331;174920478;161762353;689647051;93;0;2;27;0;9;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.161762353.174920478
247033333;174920480;161762353;689647053;93;0;2;27;0;9;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.161762353.174920480
247033335;174920482;161762353;689647056;93;0;2;27;0;9;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.161762353.174920482
247033337;174920484;161762353;689647058;93;0;2;27;0;9;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.161762353.174920484
247033339;174920486;161762353;689647061;93;0;2;27;0;9;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.161762353.174920486
247033341;174920488;161762353;689647064;93;0;2;27;0;9;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.161762353.174920488
247033343;174920490;161762353;689647066;93;0;2;27;0;9;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.161762353.174920490
247033362;174920509;160485983;689647111;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920509
247033365;174920512;160485983;689647114;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920512
247033405;174920552;160485983;689647180;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920552
247033407;174920554;160485983;689647183;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920554
247033409;174920556;160485983;689647187;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920556
247033411;174920558;160485983;689647191;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920558
247033367;174920514;160485983;689647116;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920514
247033369;174920516;160485983;689647118;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920516
247033371;174920518;160485983;689647121;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920518
247033373;174920520;160485983;689647125;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920520
247033375;174920522;160485983;689647128;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920522
247031635;174918914;156560815;689644453;93;0;2;0;0;242;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.156560815.174918914
247031640;174918919;158046794;689644458;93;0;2;0;0;1103;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.158046794.174918919
247031639;174918918;156560876;689644457;93;0;2;0;0;392;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.156560876.174918918
247033378;174920525;160485983;689647133;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920525
247033380;174920527;160485983;689647136;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920527
247033382;174920529;160485983;689647139;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920529
247033384;174920531;160485983;689647143;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920531
247033386;174920533;160485983;689647146;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920533
247033388;174920535;160485983;689647150;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920535
247033390;174920537;160485983;689647153;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920537
247033392;174920539;160485983;689647157;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920539
247033413;174920560;160485983;689647195;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920560
247033415;174920562;160485983;689647199;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920562
247033417;174920564;160485983;689647203;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920564
247033419;174920566;160485983;689647206;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920566
247033421;174920568;160485983;689647210;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920568
247033423;174920570;160485983;689647214;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920570
247033425;174920572;160485983;689647218;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920572
247033427;174920574;160485983;689647222;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920574
247033429;174920576;160485983;689647226;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920576
247033431;174920578;160485983;689647230;93;0;2;27;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.160485983.174920578
247033507;174920654;161762352;689647357;93;0;2;27;0;8;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815751.155844980.161762352.174920654
