ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644416777;174914386;689635331;0;1;9307;2025-09-29;2025-09-29;2079-06-06
1644416779;174914386;689635331;0;6;21217000002;2025-09-29;2025-09-29;2079-06-06
1644416781;174914386;689635331;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644416783;174914386;689635331;0;21;21000000;2025-09-29;2025-09-29;2079-06-06
1644416787;174914387;689635333;0;2;9307;2025-09-29;2025-09-29;2079-06-06
1644416789;174914387;689635333;0;7;21519000001;2025-09-29;2025-09-29;2079-06-06
1644416791;174914387;689635333;0;13;210000000000000001320011000000000;2025-09-29;2025-09-29;2079-06-06
1644447621;174918914;689644453;0;1;9311;2025-09-29;2025-09-29;2079-06-06
1644447623;174918914;689644453;0;6;21419000000;2025-09-29;2025-09-29;2079-06-06
1644447631;174918914;689644453;0;15;25;2025-09-29;2025-09-29;2079-06-06
1644447633;174918914;689644453;0;21;21719000;2025-09-29;2025-09-29;2079-06-06
1644447635;174918916;689644455;0;2;9311;2025-09-29;2025-09-29;2079-06-06
1644447637;174918916;689644455;0;7;21719000058;2025-09-29;2025-09-29;2079-06-06
1644447639;174918916;689644455;0;13;210000000000000000620012000000000;2025-09-29;2025-09-29;2079-06-06
1644447641;174918917;689644456;0;1;9311;2025-09-29;2025-09-29;2079-06-06
1644447643;174918917;689644456;0;6;21419000000;2025-09-29;2025-09-29;2079-06-06
1644447645;174918917;689644456;0;15;58;2025-09-29;2025-09-29;2079-06-06
1644447647;174918917;689644456;0;21;21719000;2025-09-29;2025-09-29;2079-06-06
1644447649;174918918;689644457;0;2;9311;2025-09-29;2025-09-29;2079-06-06
1644447651;174918918;689644457;0;7;21719000001;2025-09-29;2025-09-29;2079-06-06
1644447653;174918918;689644457;0;13;720000000000000022120025000000000;2025-09-29;2025-09-29;2079-06-06
1644447655;174918919;689644458;0;1;9311;2025-09-29;2025-09-29;2079-06-06
1644447657;174918919;689644458;0;6;21419000000;2025-09-29;2025-09-29;2079-06-06
1644447659;174918919;689644458;0;15;30;2025-09-29;2025-09-29;2079-06-06
1644447661;174918919;689644458;0;21;21719000;2025-09-29;2025-09-29;2079-06-06
1644459901;174920460;689647007;0;2;9311;2025-09-29;2025-09-29;2079-06-06
1644459903;174920460;689647007;0;7;21719000001;2025-09-29;2025-09-29;2079-06-06
1644459905;174920460;689647007;0;13;720000000000000021020113000000000;2025-09-29;2025-09-29;2079-06-06
1644459923;174920469;689647017;0;1;9311;2025-09-29;2025-09-29;2079-06-06
1644459925;174920469;689647017;0;6;21419000000;2025-09-29;2025-09-29;2079-06-06
1644459927;174920469;689647017;0;15;29;2025-09-29;2025-09-29;2079-06-06
1644459929;174920469;689647017;0;21;21719000;2025-09-29;2025-09-29;2079-06-06
1644459933;174920470;689647020;0;2;9311;2025-09-29;2025-09-29;2079-06-06
1644459935;174920470;689647020;0;7;21719000001;2025-09-29;2025-09-29;2079-06-06
1644459938;174920470;689647020;0;13;720000000000000039720001000000000;2025-09-29;2025-09-29;2079-06-06
1644459942;174920471;689647023;0;1;9311;2025-09-29;2025-09-29;2079-06-06
1644459944;174920471;689647023;0;6;21419552000;2025-09-29;2025-09-29;2079-06-06
1644459947;174920471;689647023;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644459949;174920471;689647023;0;21;21719000;2025-09-29;2025-09-29;2079-06-06
1644459954;174920472;689647028;0;2;9311;2025-09-29;2025-09-29;2079-06-06
1644459956;174920472;689647028;0;7;21719000001;2025-09-29;2025-09-29;2079-06-06
1644459959;174920472;689647028;0;13;720000000000000093420082000000000;2025-09-29;2025-09-29;2079-06-06
1644459981;174920473;689647044;0;1;9311;2025-09-29;2025-09-29;2079-06-06
1644459983;174920473;689647044;0;6;21419566000;2025-09-29;2025-09-29;2079-06-06
1644459985;174920473;689647044;0;15;3;2025-09-29;2025-09-29;2079-06-06
