ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
249593793;174920528;160485983;689647138;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920528
249587492;174914386;169449254;689635331;21517000102;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.161931872.156148122.169449254.174914386
249587494;174914388;174914387;689635334;21519000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.161931874.156148146.157738790.174914387.174914388
249592049;174918917;155820164;689644456;21719000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155815751.155820164.174918917
249592048;174918916;157324530;689644455;21719000058;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.156148575.157324530.174918916
249593725;174920460;155821827;689647007;21719000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155815751.155821827.174920460
249593737;174920472;155829570;689647028;21719000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155815751.155829570.174920472
249593845;174920580;155844981;689647275;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920580
249593847;174920582;155844981;689647278;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920582
249593849;174920584;155844981;689647281;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920584
249593851;174920586;155844981;689647284;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920586
249593853;174920588;155844981;689647287;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920588
249593855;174920590;155844981;689647291;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920590
249593858;174920593;155844981;689647294;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920593
249593860;174920595;155844981;689647296;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920595
249593736;174920471;160326989;689647023;21719000052;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155824268.160326989.174920471
249593739;174920474;161762353;689647046;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762353.174920474
249593741;174920476;161762353;689647048;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762353.174920476
249593743;174920478;161762353;689647051;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762353.174920478
249593745;174920480;161762353;689647053;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762353.174920480
249593747;174920482;161762353;689647056;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762353.174920482
249593749;174920484;161762353;689647058;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762353.174920484
249593751;174920486;161762353;689647061;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762353.174920486
249593753;174920488;161762353;689647064;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762353.174920488
249593755;174920490;161762353;689647066;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762353.174920490
249593774;174920509;160485983;689647111;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920509
249593777;174920512;160485983;689647114;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920512
249593780;174920515;160485983;689647117;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920515
249593782;174920517;160485983;689647120;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920517
249593784;174920519;160485983;689647123;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920519
249593786;174920521;160485983;689647126;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920521
249593788;174920523;160485983;689647130;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920523
249593790;174920525;160485983;689647133;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920525
249593792;174920527;160485983;689647136;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920527
249593795;174920530;160485983;689647141;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920530
249593797;174920532;160485983;689647145;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920532
249593799;174920534;160485983;689647148;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920534
249593801;174920536;160485983;689647152;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920536
249593803;174920538;160485983;689647155;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920538
249593805;174920540;160485983;689647159;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920540
249593807;174920542;160485983;689647162;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920542
249593809;174920544;160485983;689647165;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920544
249593811;174920546;160485983;689647169;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920546
249593813;174920548;160485983;689647173;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920548
249593815;174920550;160485983;689647176;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920550
249593817;174920552;160485983;689647180;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920552
249593819;174920554;160485983;689647183;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920554
249593821;174920556;160485983;689647187;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920556
249593823;174920558;160485983;689647191;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920558
249593825;174920560;160485983;689647195;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920560
249593827;174920562;160485983;689647199;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920562
249593829;174920564;160485983;689647203;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920564
249593831;174920566;160485983;689647206;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920566
249593833;174920568;160485983;689647210;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920568
249593835;174920570;160485983;689647214;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920570
249593837;174920572;160485983;689647218;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920572
249593839;174920574;160485983;689647222;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920574
249593841;174920576;160485983;689647226;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920576
249593843;174920578;160485983;689647230;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.160485983.174920578
249593919;174920654;161762352;689647357;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920654
249593921;174920656;161762352;689647359;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920656
249593923;174920658;161762352;689647361;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920658
249593861;174920596;155844981;689647298;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920596
249593863;174920598;155844981;689647300;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920598
249593866;174920601;155844981;689647303;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920601
249593868;174920603;155844981;689647305;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920603
249593870;174920605;155844981;689647307;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920605
249593874;174920609;155844981;689647311;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920609
249593876;174920611;155844981;689647313;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920611
249593879;174920614;155844981;689647316;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920614
249593882;174920617;155844981;689647319;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920617
249593884;174920619;155844981;689647321;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920619
249593887;174920622;155844981;689647324;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.155844981.174920622
249593974;174920709;159562773;689647415;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174920709
249593926;174920661;161762352;689647365;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920661
249593928;174920663;161762352;689647367;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920663
249593930;174920665;161762352;689647369;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920665
249593933;174920667;161762352;689647372;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920667
249593937;174920672;161762352;689647376;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920672
249593941;174920676;161762352;689647380;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920676
249593945;174920680;161762352;689647384;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920680
249593949;174920684;161762352;689647388;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920684
249593951;174920686;161762352;689647390;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920686
249593953;174920688;161762352;689647392;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920688
249593957;174920692;161762352;689647396;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920692
249593961;174920696;161762352;689647400;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920696
249593963;174920698;161762352;689647402;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920698
249593965;174920700;161762352;689647405;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920700
249593968;174920703;161762352;689647408;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920703
249593972;174920707;161762352;689647412;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762352.174920707
249595624;174922339;161762350;689649988;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922339
249595628;174922343;161762350;689649992;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922343
249595631;174922346;161762350;689649995;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922346
249595634;174922349;161762350;689649998;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922349
249595638;174922353;161762350;689650002;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922353
249595641;174922356;161762350;689650005;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922356
249595644;174922359;161762350;689650008;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922359
249595647;174922362;161762350;689650011;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922362
249595650;174922365;161762350;689650014;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922365
249595609;174922324;155820571;689649973;21719000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155815751.155820571.174922324
249595672;174922387;159562773;689650048;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922387
249595674;174922389;159562773;689650051;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922389
249595676;174922391;159562773;689650053;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922391
249595678;174922393;159562773;689650055;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922393
249595680;174922395;159562773;689650059;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922395
249595682;174922397;159562773;689650062;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922397
249595684;174922399;159562773;689650064;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922399
249595686;174922401;159562773;689650067;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922401
249595688;174922403;159562773;689650070;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922403
249595656;174922371;161762350;689650020;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922371
249595659;174922374;161762350;689650023;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922374
249595662;174922377;161762350;689650026;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922377
249595665;174922380;161762350;689650029;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922380
249595667;174922382;161762350;689650031;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922382
249595669;174922384;161762350;689650034;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762350.174922384
249595702;174922417;161762349;689650099;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762349.174922417
249595704;174922419;161762349;689650101;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762349.174922419
249595706;174922421;161762349;689650104;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.161762349.174922421
249595689;174922404;159562773;689650072;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922404
249595691;174922406;159562773;689650074;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922406
249595693;174922408;159562773;689650077;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922408
249595695;174922410;159562773;689650080;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922410
249595697;174922412;159562773;689650083;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922412
249595699;174922414;159562773;689650086;21719000066;0;0;2025-09-29;2025-09-29;2079-06-06;1;155815692.155815752.155844980.159562773.174922414
