ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27410631;"Об утверждении ведомственного классификатора ""Система обозначений налоговых органов""";2001-01-22;БГ-3-14/17;24;1;2025-09-29;ФНС России;2025-09-29
27421521;О присвоении адреса объектам адресации в селе Октябрь Новоазовского муниципального округа;2025-09-29;1819;21;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОАЗОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27421523;О присвоении адреса объекту адресации в городе Новоазовске Новоазовского муниципального округа;2025-09-29;1817;21;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОАЗОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27421525;О присвоении адреса объектам адресации в селе Украинское Новоазовского муниципального округа;2025-09-29;1820;21;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОАЗОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27421541;О присвоении адреса объектам адресации в селе Патриотическом Новоазовского муниципального округа;2025-09-29;1823;21;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОАЗОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27421554;О присвоении адреса объектам адресации в городе Новоазовске Новоазовского муниципального округа;2025-09-29;1828;21;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОАЗОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27421566;О присвоении адреса объектам адресации в селе Розы Люксембург Новоазовского муниципального округа;2025-09-29;1832;21;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОАЗОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27421543;О присвоении адреса объектам адресации в селе Лебединском Новоазовского муниципального округа;2025-09-29;1824;21;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОАЗОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27421552;О присвоении адреса объекту адресации в СНТ «Энтузиаст» Новоазовского муниципального округа;2025-09-29;1827;21;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОАЗОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27421562;О присвоении адреса объектам адресации в городе Новоазовске Новоазовского муниципального округа;2025-09-29;1831;21;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОАЗОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422004;О присвоении адресов объектам адресации;2025-09-29;H-28950662;21;3;2025-09-29;АДМИНИСТРАЦИЯ СТАРОБЕШЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422016;О присвоении адресов объектам адресации;2025-09-29;H-28951134;21;3;2025-09-29;АДМИНИСТРАЦИЯ СТАРОБЕШЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422037;О присвоении адреса объекту адресации в городском округе Макеевка Донецкой Народной Республики (по заявлению гражданки Горбань Т.Г.);2025-09-22;1739;21;2;2025-09-29;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА МАКЕЕВКА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422050;О присвоении адресов объектам адресации в городском округе Макеевка Донецкой Народной Республики (по заявлению гражданки Белоусовой Н.Н.);2025-09-24;1766;21;2;2025-09-29;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА МАКЕЕВКА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422018;О присвоении адресов объектам адресации;2025-09-29;H-28951311;21;3;2025-09-29;АДМИНИСТРАЦИЯ СТАРОБЕШЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422036;О присвоении адреса объекту адресации в городском округе Макеевка Донецкой Народной Республики (по заявлению гражданина Феночки А.Н.);2025-09-22;1742;21;2;2025-09-29;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА МАКЕЕВКА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422427;О присвоении адресов объектам адресации;2025-09-29;H-28951460;21;3;2025-09-29;АДМИНИСТРАЦИЯ СТАРОБЕШЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422431;О присвоении адресов объектам адресации;2025-09-29;H-28952811;21;3;2025-09-29;АДМИНИСТРАЦИЯ СТАРОБЕШЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422438;О присвоении адреса объекту адресации в поселке городского типа Тельманово Тельмановского муниципального округа;2025-09-29;573;21;2;2025-09-29;АДМИНИСТРАЦИЯ ТЕЛЬМАНОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422669;О присвоении адресов объектам адресации;2025-09-29;H-28953044;21;3;2025-09-29;АДМИНИСТРАЦИЯ СТАРОБЕШЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422671;О присвоении адресов объектам адресации;2025-09-29;H-28953329;21;3;2025-09-29;АДМИНИСТРАЦИЯ СТАРОБЕШЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422684;О присвоении адресов объектам адресации;2025-09-29;H-28953488;21;3;2025-09-29;АДМИНИСТРАЦИЯ СТАРОБЕШЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422698;О присвоении адресов объектам адресации;2025-09-29;H-28953843;21;3;2025-09-29;АДМИНИСТРАЦИЯ СТАРОБЕШЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
