ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
74170149;174922322;7ef001b1-ba63-43c9-b3ba-c13cb2a71779;689649971;135/30;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74170220;174922749;863c3525-308d-4be9-b6ae-79861e3c5bfe;689650539;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171570;174926226;03c6b75a-8da1-4e94-8f84-0cd7ba7bc94c;689655978;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171572;174926228;735c2e4b-834c-4e7f-98b5-f54529f2c7ed;689655980;130/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171574;174926230;3170fcf9-0d80-4ac6-a244-10bcab3ced1e;689656011;16;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171576;174926232;86cbc5e9-20d7-4ba2-8044-267ae1acfd37;689656092;35/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171578;174926234;9943e13f-afd0-4219-8d97-9f4f32035c9b;689656123;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171677;174927455;865a06c8-91f0-4698-b91f-09b4fbf4c6f7;689662575;17;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171679;174927457;01a5419f-a32f-4112-b999-c2b11670d6cd;689662578;85;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171681;174927459;c6064b2e-b9fc-4866-b497-0ca66879ee70;689662581;41;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172762;174929501;e7e107ed-2a89-41e6-bd6d-a07c0e8351c8;689667632;172;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74184526;174951780;d6ce9746-c488-4942-98a7-353d31012e83;689714592;34/2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74184536;174951790;a531534b-02e2-47e4-8c43-412de579aa4e;689714779;16;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185475;174953104;96a5db1a-9f52-4fe5-8571-f05cbdd5cb78;689718783;13/1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185477;174953106;5d9b2aa7-d033-40be-9b83-2579b62215f9;689718786;8;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185479;174953108;a3b09329-78fa-40d5-ac04-97dfad79c0ad;689718788;7/1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185481;174953111;9d8654bf-6896-4b6a-a9d4-dd6a29db8ecb;689718791;3А;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185495;174953137;45a10a6a-c55c-4c62-8bba-78f98c7328d7;689718826;20;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185497;174953141;d67075e3-7f1c-46be-83f6-2cda1b6f2e4b;689718834;50;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185501;174953146;0c405880-a1d6-4c9f-a029-d24485643e23;689718846;22/1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185505;174953151;ce31929a-0c83-484a-bdc2-a38d6ed553a5;689718853;38;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185508;174953156;e70ac86e-d7cc-4510-8fa6-5f173709c518;689718860;58;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185514;174953163;9dc99738-b0aa-4e1b-bbd2-4d9b1f4ea96d;689718870;282;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185541;174953190;63754e19-d41a-4cdd-b007-930176e3b71c;689718919;10;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185543;174953192;6af989fb-3502-4b5a-9b6d-5d82e54ddba7;689718929;37;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74186406;174954504;b359f604-f8c8-4476-9ac7-9aa0da4a8d8d;689721407;39/31;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74186451;174954581;573d5a03-a793-4d6a-9879-527d93625ed4;689721513;94;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74186456;174954590;0ee115f4-ad97-47f9-9867-6f2982d6e0df;689721575;79А;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74186465;174954598;0c343007-9bb4-4050-9c9e-63f9f66bd796;689721685;144;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74186445;174954566;c64e281b-c571-47cb-93ae-c12976dd350e;689721479;110;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74186462;174954595;3bcad729-e00e-4909-8435-198dcb3a717c;689721668;13;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74186464;174954597;4d5a860a-39f5-44c8-8d5e-0ce5d4ca332b;689721682;202А;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74186467;174954600;c9c0b7a8-9561-4e8f-a8aa-87e63fc3cd83;689721702;33;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
