ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1603419289;166250626;643348090;689710681;8;95:23:0101046:2276;2025-09-30;2025-03-28;2025-09-30
1521590122;164700326;599638327;689820228;8;95:23:0101024:306;2025-10-01;2024-08-14;2025-10-01
1503765873;162467081;590436059;689635377;8;95:32:0101026:439;2025-09-29;2024-02-14;2025-09-29
1640788829;172193773;688594961;689635372;8;95:22:0101026:403;2025-09-29;2025-09-03;2025-09-29
1644424572;163982689;689637641;0;8;95:20:0101153:2793;2025-09-29;2025-09-29;2079-06-06
1644424574;167341189;689637643;0;8;95:20:0101175:3933;2025-09-29;2025-09-29;2079-06-06
1644424578;166826619;689637646;0;8;95:20:0101153:2794;2025-09-29;2025-09-29;2079-06-06
1644424579;164836245;689637647;0;8;95:20:0101145:1003;2025-09-29;2025-09-29;2079-06-06
1644424589;164847202;689637653;0;8;95:20:0101175:3936;2025-09-29;2025-09-29;2079-06-06
1644436334;160794144;689640939;0;8;95:20:0101158:2353;2025-09-29;2025-09-29;2079-06-06
1644436366;166671682;689641225;0;8;95:20:0101173:1338;2025-09-29;2025-09-29;2079-06-06
1644436324;164783368;689640935;0;8;95:20:0101197:4888;2025-09-29;2025-09-29;2079-06-06
1644436664;166677131;689641247;0;8;95:20:0101189:2903;2025-09-29;2025-09-29;2079-06-06
1644447925;174918953;689644492;0;8;95:19:0000000:55532;2025-09-29;2025-09-29;2079-06-06
1644447927;174918953;689644492;0;13;740000000000000000240018003800000;2025-09-29;2025-09-29;2079-06-06
1644447929;174918954;689644493;0;15;39;2025-09-29;2025-09-29;2079-06-06
1644447931;174918955;689644494;0;8;95:19:0000000:55542;2025-09-29;2025-09-29;2079-06-06
1644447933;174918955;689644494;0;13;740000000000000000240018004000000;2025-09-29;2025-09-29;2079-06-06
1644447935;174918956;689644495;0;15;41;2025-09-29;2025-09-29;2079-06-06
