ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27409538;Об аннулировании адресов объектов адресации;2025-09-25;543;21;2;2025-09-29;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ ГОРОДСКОЙ ОКРУГ ГОРОД КИРОВСК ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27415061;О присвоении адреса объекту адресации;2025-09-25;1505;21;2;2025-09-29;Администрация муниципального округа муниципальное образование Краснодонский муниципальный округ Луганской Народной Республики;2025-09-29
27415410;О присвоении адреса объекту адресации;2025-09-25;1507;21;2;2025-09-29;Администрация муниципального округа муниципальное образование Краснодонский муниципальный округ Луганской Народной Республики;2025-09-29
27420876;О присвоении адреса объекту адресации;2025-09-29;1667;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОКРУГА МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ СВЕРДЛОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27420878;О присвоении адреса объекту адресации;2025-09-29;1672;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОКРУГА МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ СВЕРДЛОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27421528;О присвоении адреса объекту адресации;2025-09-29;1697;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОКРУГА МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ СВЕРДЛОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422061;О присвоении адреса объекту адресации;2025-09-29;1668;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОКРУГА МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ СВЕРДЛОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422067;О присвоении адреса объекту адресации;2025-09-29;1687;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОКРУГА МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ СВЕРДЛОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422032;О присвоении адреса объекту адресации;2025-09-29;1696;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОКРУГА МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ СВЕРДЛОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
27422062;О присвоении адреса объекту адресации;2025-09-29;1684;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОКРУГА МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ СВЕРДЛОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ;2025-09-29
