ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;AREACODE;CITYCODE;PLACECODE;PLANCODE;STREETCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
247047865;174934472;158015986;689677104;95;14;0;30;0;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;156353496.161976874.156358762.158015986.174934472
247047854;174934461;159376541;689676994;95;1;0;16;0;18;0;0;2025-09-29;2025-09-29;2079-06-06;1;156353496.156353497.156361345.159376541.174934461
247047960;174934567;157595423;689678140;95;4;0;1;0;33;0;0;2025-09-29;2025-09-29;2079-06-06;1;156353496.156353537.156356818.157595423.174934567
247048043;174934650;160220750;689678231;95;12;0;3;0;6;0;0;2025-09-29;2025-09-29;2079-06-06;1;156353496.161975580.156391059.160220750.174934650
247048038;174934645;156906160;689678222;95;3;0;111;0;2;0;0;2025-09-29;2025-09-29;2079-06-06;1;156353496.156353511.156625698.156906160.174934645
247048044;174934651;160217811;689678233;95;12;0;10;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;156353496.161975580.158278823.160217811.174934651
247048050;174934657;156355985;689678242;95;12;1;0;0;5;0;0;2025-09-29;2025-09-29;2079-06-06;1;156353496.161975580.156354359.156355985.174934657
247048058;174934665;157599445;689678250;95;12;1;0;0;20;0;0;2025-09-29;2025-09-29;2079-06-06;1;156353496.161975580.156354359.157599445.174934665
247048249;174934852;160056713;689678615;95;20;0;17;0;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;156353496.161978461.156391133.158907083.160056713.174934852
247048250;174934853;160056713;689678618;95;20;0;17;0;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;156353496.161978461.156391133.158907083.160056713.174934853
247050046;174936639;156355593;689681587;95;3;1;0;0;49;0;0;2025-09-29;2025-09-29;2079-06-06;1;156353496.156353511.156353514.156355593.174936639
247050047;174936640;156355593;689681598;95;3;1;0;0;49;0;0;2025-09-29;2025-09-29;2079-06-06;1;156353496.156353511.156353514.156355593.174936640
247090105;174974808;156360893;689785933;95;0;2;0;0;308;0;0;2025-10-01;2025-10-01;2079-06-06;1;156353496.156353500.156360893.174974808
247103785;174988245;160062264;689812737;95;0;2;0;0;37;0;0;2025-10-01;2025-10-01;2079-06-06;1;156353496.156353500.156353820.160062264.174988245
