ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644417084;160313827;689635387;0;8;94:01:1010013:192;2025-09-29;2025-09-29;2079-06-06
1644417151;160077863;689635395;0;13;740000000000000001020004000000010;2025-09-29;2025-09-29;2079-06-06
1644417378;160062882;689635433;0;8;94:01:1010013:654;2025-09-29;2025-09-29;2079-06-06
1644417572;160474107;689635465;0;8;94:01:1010013:493;2025-09-29;2025-09-29;2079-06-06
1644417653;157913038;689635479;0;8;94:01:1010013:618;2025-09-29;2025-09-29;2079-06-06
1644417051;158119902;689635381;0;8;94:01:1010013:646;2025-09-29;2025-09-29;2079-06-06
1644417199;160731170;689635405;0;8;94:01:1010013:320;2025-09-29;2025-09-29;2079-06-06
1644417415;158691143;689635440;0;8;94:01:1010013:483;2025-09-29;2025-09-29;2079-06-06
1644417562;160063410;689635463;0;8;94:02:1010010:4903;2025-09-29;2025-09-29;2079-06-06
1644417573;160841681;689635466;0;8;94:01:1010013:175;2025-09-29;2025-09-29;2079-06-06
1644417686;160330759;689635484;0;8;94:01:1010013:582;2025-09-29;2025-09-29;2079-06-06
1644424566;160239645;689637635;0;8;94:01:1010013:521;2025-09-29;2025-09-29;2079-06-06
1644424568;164253867;689637637;0;8;94:01:1010013:767;2025-09-29;2025-09-29;2079-06-06
1644424570;158182543;689637639;0;8;94:01:1010013:668;2025-09-29;2025-09-29;2079-06-06
1644555572;174934472;689677104;0;2;9500;2025-09-29;2025-09-29;2079-06-06
1644555574;174934472;689677104;0;7;74505000146;2025-09-29;2025-09-29;2079-06-06
1644555576;174934472;689677104;0;13;740000000000000001620005000000000;2025-09-29;2025-09-29;2079-06-06
1644555709;174934483;689677223;0;1;9500;2025-09-29;2025-09-29;2079-06-06
1644555711;174934483;689677223;0;6;74401000000;2025-09-29;2025-09-29;2079-06-06
1644555713;174934483;689677223;0;15;12;2025-09-29;2025-09-29;2079-06-06
1644555715;174934483;689677223;0;21;74000000;2025-09-29;2025-09-29;2079-06-06
1644555441;174934461;689676994;0;2;9500;2025-09-29;2025-09-29;2079-06-06
1644555443;174934461;689676994;0;7;74701000110;2025-09-29;2025-09-29;2079-06-06
1644555447;174934461;689676994;0;13;740000000000000001820005000000000;2025-09-29;2025-09-29;2079-06-06
1644557082;174934566;689678136;0;1;9500;2025-09-29;2025-09-29;2079-06-06
1644557084;174934566;689678136;0;6;74217553000;2025-09-29;2025-09-29;2079-06-06
